transcript	stratum	expression
TRINITY_DN17631_c0_g1	ANG	-
TRINITY_DN17633_c0_g1	ANG	-
TRINITY_DN17636_c0_g2	species-specific	-
TRINITY_DN17636_c1_g1	species-specific	-
TRINITY_DN17637_c1_g1	species-specific	-
TRINITY_DN17639_c0_g1	ANG	-
TRINITY_DN17640_c0_g1	species-specific	-
TRINITY_DN17641_c0_g1	species-specific	-
TRINITY_DN17641_c0_g3	species-specific	-
TRINITY_DN17642_c0_g1	ANG	-
TRINITY_DN17643_c0_g1	PAP	-
TRINITY_DN17644_c0_g1	ANG	-
TRINITY_DN17647_c0_g1	species-specific	-
TRINITY_DN17648_c0_g2	ANG	-
TRINITY_DN17651_c1_g1	ANG	-
TRINITY_DN17652_c0_g2	species-specific	-
TRINITY_DN17654_c0_g1	ANG	-
TRINITY_DN17656_c0_g1	PAP	-
TRINITY_DN17657_c0_g1	ANG	-
TRINITY_DN17660_c0_g1	species-specific	-
TRINITY_DN17661_c0_g1	SPE	-
TRINITY_DN17661_c0_g2	SPE	-
TRINITY_DN17662_c0_g1	species-specific	-
TRINITY_DN17663_c0_g1	ANG	-
TRINITY_DN17666_c0_g1	ROS	-
TRINITY_DN17667_c0_g1	species-specific	-
TRINITY_DN17667_c0_g2	species-specific	-
TRINITY_DN17668_c0_g1	species-specific	-
TRINITY_DN1766_c0_g1	ANG	-
TRINITY_DN17671_c0_g1	species-specific	-
TRINITY_DN17672_c0_g1	ANG	-
TRINITY_DN17677_c0_g1	species-specific	-
TRINITY_DN17678_c1_g1	SPE	-
TRINITY_DN17684_c0_g1	ANG	-
TRINITY_DN17686_c0_g1	ANG	-
TRINITY_DN17687_c0_g1	species-specific	-
TRINITY_DN17687_c1_g1	species-specific	-
TRINITY_DN17688_c0_g1	species-specific	-
TRINITY_DN17688_c0_g2	ANG	-
TRINITY_DN17688_c1_g1	ROS	-
TRINITY_DN17688_c1_g3	ROS	-
TRINITY_DN17688_c1_g4	ROS	-
TRINITY_DN17689_c0_g1	PAP	-
TRINITY_DN1768_c0_g1	ANG	-
TRINITY_DN17695_c0_g1	SPE	-
TRINITY_DN17696_c0_g1	species-specific	-
TRINITY_DN17696_c2_g1	species-specific	-
TRINITY_DN1769_c0_g1	ANG	-
TRINITY_DN176_c0_g1	ANG	-
TRINITY_DN17700_c0_g1	ANG	-
TRINITY_DN17701_c0_g1	PAP	-
TRINITY_DN17704_c0_g1	ROS	-
TRINITY_DN17706_c0_g1	species-specific	-
TRINITY_DN17710_c0_g3	ANG	-
TRINITY_DN17713_c1_g1	PAP	-
TRINITY_DN17719_c0_g2	PAP	-
TRINITY_DN1771_c0_g1	SPE	-
TRINITY_DN1771_c1_g1	species-specific	-
TRINITY_DN17720_c0_g1	SPE	-
TRINITY_DN17724_c0_g1	ANG	-
TRINITY_DN17728_c0_g1	SPE	-
TRINITY_DN1772_c0_g1	ANG	-
TRINITY_DN17730_c0_g1	SPE	-
TRINITY_DN17731_c1_g1	ANG	-
TRINITY_DN17732_c0_g1	SPE	-
TRINITY_DN17736_c0_g1	ANG	-
TRINITY_DN17739_c0_g1	ANG	-
TRINITY_DN1773_c0_g1	PAP	-
TRINITY_DN17743_c0_g1	SPE	-
TRINITY_DN17743_c0_g2	SPE	-
TRINITY_DN17746_c0_g1	species-specific	-
TRINITY_DN17747_c0_g1	PAP	-
TRINITY_DN17747_c0_g2	PAP	-
TRINITY_DN17747_c1_g2	ANG	-
TRINITY_DN1774_c0_g1	ANG	-
TRINITY_DN17751_c0_g1	ANG	-
TRINITY_DN17752_c0_g1	ANG	-
TRINITY_DN17753_c0_g1	ANG	-
TRINITY_DN17754_c0_g1	PAP	-
TRINITY_DN17758_c0_g1	ANG	-
TRINITY_DN17762_c1_g1	ANG	-
TRINITY_DN17765_c0_g2	SPE	-
TRINITY_DN17767_c0_g1	ANG	-
TRINITY_DN17767_c0_g2	ANG	-
TRINITY_DN17768_c0_g1	SPE	-
TRINITY_DN17768_c0_g2	ANG	-
TRINITY_DN17768_c0_g3	SPE	-
TRINITY_DN17768_c1_g1	SPE	-
TRINITY_DN1776_c0_g1	ANG	-
TRINITY_DN17770_c0_g1	ANG	-
TRINITY_DN17775_c0_g1	ANG	-
TRINITY_DN17777_c0_g1	EUD	-
TRINITY_DN17778_c0_g1	ANG	-
TRINITY_DN1777_c0_g1	ANG	-
TRINITY_DN17782_c0_g1	species-specific	-
TRINITY_DN17783_c0_g2	ANG	-
TRINITY_DN17784_c0_g2	species-specific	-
TRINITY_DN17784_c0_g4	species-specific	-
TRINITY_DN17785_c0_g1	ANG	-
TRINITY_DN17786_c0_g1	ANG	-
TRINITY_DN17788_c0_g1	PAP	-
TRINITY_DN1778_c0_g1	ANG	-
TRINITY_DN17791_c0_g1	ANG	-
TRINITY_DN17796_c0_g1	ANG	-
TRINITY_DN1779_c0_g1	ANG	-
TRINITY_DN177_c0_g1	SPE	-
TRINITY_DN177_c1_g1	SPE	-
TRINITY_DN177_c1_g2	SPE	-
TRINITY_DN17801_c0_g1	ANG	-
TRINITY_DN17806_c0_g1	species-specific	-
TRINITY_DN17807_c0_g1	PAP	-
TRINITY_DN17811_c0_g1	EUD	-
TRINITY_DN17812_c0_g1	PAP	-
TRINITY_DN17813_c0_g1	ANG	-
TRINITY_DN17816_c0_g1	PAP	-
TRINITY_DN17817_c0_g1	species-specific	-
TRINITY_DN17819_c0_g1	ANG	-
TRINITY_DN1781_c0_g1	species-specific	-
TRINITY_DN1781_c0_g2	ROS	-
TRINITY_DN17821_c0_g1	ANG	-
TRINITY_DN17825_c0_g1	species-specific	-
TRINITY_DN17825_c0_g2	ANG	-
TRINITY_DN17825_c0_g3	species-specific	-
TRINITY_DN17828_c0_g1	species-specific	-
TRINITY_DN17829_c0_g1	PAP	-
TRINITY_DN17832_c0_g1	EUD	-
TRINITY_DN17835_c0_g1	species-specific	-
TRINITY_DN17838_c0_g1	EUD	-
TRINITY_DN17839_c0_g1	ANG	-
TRINITY_DN1783_c0_g1	ANG	-
TRINITY_DN17840_c0_g1	species-specific	-
TRINITY_DN17848_c0_g2	species-specific	-
TRINITY_DN1784_c0_g1	ANG	-
TRINITY_DN17859_c0_g1	species-specific	-
TRINITY_DN1785_c0_g1	ANG	-
TRINITY_DN1785_c2_g1	ANG	-
TRINITY_DN17860_c0_g1	ANG	-
TRINITY_DN17864_c0_g1	ANG	-
TRINITY_DN17866_c0_g1	SPE	-
TRINITY_DN17867_c0_g1	ANG	-
TRINITY_DN1786_c0_g1	ANG	-
TRINITY_DN17872_c0_g1	species-specific	-
TRINITY_DN17874_c0_g1	SPE	-
TRINITY_DN17876_c0_g1	PAP	-
TRINITY_DN17878_c2_g1	ANG	-
TRINITY_DN17879_c0_g1	ANG	-
TRINITY_DN1787_c0_g1	PAP	-
TRINITY_DN17880_c0_g2	PAP	-
TRINITY_DN17880_c1_g1	species-specific	-
TRINITY_DN17881_c0_g1	SPE	-
TRINITY_DN17882_c0_g1	FAB	-
TRINITY_DN17886_c0_g1	species-specific	-
TRINITY_DN17887_c0_g1	SPE	-
TRINITY_DN1788_c0_g1	ANG	-
TRINITY_DN17890_c0_g1	ANG	-
TRINITY_DN17891_c0_g1	ANG	-
TRINITY_DN17894_c0_g1	ANG	-
TRINITY_DN1789_c0_g1	SPE	-
TRINITY_DN178_c0_g1	ANG	-
TRINITY_DN178_c2_g1	ANG	-
TRINITY_DN178_c3_g1	ANG	-
TRINITY_DN17903_c0_g3	PAP	-
TRINITY_DN17904_c0_g1	species-specific	-
TRINITY_DN17906_c0_g1	ANG	-
TRINITY_DN17907_c0_g1	species-specific	-
TRINITY_DN17909_c0_g1	ANG	-
TRINITY_DN1790_c0_g1	ANG	-
TRINITY_DN17910_c0_g1	ANG	-
TRINITY_DN17912_c0_g1	species-specific	-
TRINITY_DN17914_c0_g1	ANG	-
TRINITY_DN17917_c0_g1	ANG	-
TRINITY_DN17919_c0_g1	ANG	-
TRINITY_DN17919_c0_g2	EUD	-
TRINITY_DN17920_c0_g1	ANG	-
TRINITY_DN17922_c0_g2	species-specific	-
TRINITY_DN17926_c0_g1	species-specific	-
TRINITY_DN17929_c0_g3	species-specific	-
TRINITY_DN17929_c0_g4	species-specific	-
TRINITY_DN17931_c0_g1	species-specific	-
TRINITY_DN17932_c0_g1	species-specific	-
TRINITY_DN17935_c0_g1	ANG	-
TRINITY_DN17937_c0_g1	species-specific	-
TRINITY_DN17941_c0_g1	SPE	-
TRINITY_DN17943_c0_g1	ANG	-
TRINITY_DN17945_c0_g1	species-specific	-
TRINITY_DN17947_c0_g1	species-specific	-
TRINITY_DN1794_c0_g1	PAP	DN
TRINITY_DN17955_c0_g1	ANG	-
TRINITY_DN17957_c0_g1	ANG	-
TRINITY_DN1795_c0_g1	SPE	-
TRINITY_DN17960_c1_g1	ANG	-
TRINITY_DN17963_c0_g1	ANG	-
TRINITY_DN17965_c0_g1	ANG	-
TRINITY_DN17967_c0_g1	ANG	-
TRINITY_DN17970_c0_g1	ANG	-
TRINITY_DN17971_c0_g1	SPE	-
TRINITY_DN17975_c0_g1	ANG	-
TRINITY_DN17978_c0_g1	SPE	-
TRINITY_DN1797_c0_g1	PAP	DN
TRINITY_DN17981_c0_g1	ANG	-
TRINITY_DN17982_c0_g1	ANG	-
TRINITY_DN17983_c0_g1	PAP	-
TRINITY_DN17985_c0_g3	species-specific	-
TRINITY_DN17985_c1_g1	species-specific	-
TRINITY_DN17989_c2_g1	ANG	-
TRINITY_DN1798_c0_g1	FAB	DN
TRINITY_DN17990_c0_g1	species-specific	-
TRINITY_DN1799_c0_g1	ANG	-
TRINITY_DN179_c1_g1	SPE	-
TRINITY_DN179_c1_g2	SPE	-
TRINITY_DN17_c0_g1	SPE	-
TRINITY_DN18003_c0_g1	species-specific	-
TRINITY_DN18004_c0_g1	ANG	-
TRINITY_DN18005_c0_g1	species-specific	-
TRINITY_DN18006_c0_g1	ANG	-
TRINITY_DN18008_c0_g1	ANG	-
TRINITY_DN18009_c0_g1	species-specific	-
TRINITY_DN1800_c0_g1	SPE	-
TRINITY_DN18011_c0_g1	ANG	-
TRINITY_DN1801_c0_g1	SPE	-
TRINITY_DN18021_c1_g1	ANG	-
TRINITY_DN18023_c0_g1	ANG	-
TRINITY_DN18023_c0_g2	ANG	-
TRINITY_DN18023_c0_g3	ANG	-
TRINITY_DN18023_c0_g4	ANG	-
TRINITY_DN18024_c0_g1	ANG	-
TRINITY_DN18025_c0_g1	SPE	-
TRINITY_DN18026_c0_g2	PAP	-
TRINITY_DN1802_c10_g1	species-specific	-
TRINITY_DN1802_c2_g1	species-specific	-
TRINITY_DN1802_c2_g3	SPE	-
TRINITY_DN1802_c3_g1	species-specific	-
TRINITY_DN18035_c0_g2	ANG	-
TRINITY_DN18036_c0_g1	ANG	-
TRINITY_DN18038_c0_g1	ANG	-
TRINITY_DN18038_c0_g2	ANG	-
TRINITY_DN18039_c0_g1	species-specific	-
TRINITY_DN1803_c0_g1	SPE	-
TRINITY_DN18040_c0_g1	PAP	-
TRINITY_DN1804_c0_g1	ANG	-
TRINITY_DN18050_c0_g1	species-specific	-
TRINITY_DN18059_c0_g1	species-specific	-
TRINITY_DN1805_c0_g1	species-specific	-
TRINITY_DN18060_c1_g1	SPE	-
TRINITY_DN18062_c0_g1	FAB	-
TRINITY_DN1806_c0_g1	ANG	-
TRINITY_DN18072_c0_g1	ANG	-
TRINITY_DN18075_c0_g1	ANG	-
TRINITY_DN18079_c0_g1	species-specific	-
TRINITY_DN1807_c0_g1	ANG	-
TRINITY_DN1807_c2_g1	ANG	-
TRINITY_DN18081_c0_g1	ANG	-
TRINITY_DN18082_c0_g1	ANG	-
TRINITY_DN18085_c0_g1	ANG	-
TRINITY_DN18086_c0_g1	PAP	-
TRINITY_DN18088_c0_g1	species-specific	-
TRINITY_DN18088_c0_g2	species-specific	-
TRINITY_DN18090_c0_g1	species-specific	-
TRINITY_DN18090_c1_g1	species-specific	-
TRINITY_DN18090_c1_g2	species-specific	-
TRINITY_DN18091_c0_g1	species-specific	-
TRINITY_DN18091_c0_g3	species-specific	-
TRINITY_DN18092_c0_g1	species-specific	-
TRINITY_DN18096_c0_g1	ANG	-
TRINITY_DN18097_c0_g1	SPE	-
TRINITY_DN18097_c0_g2	species-specific	-
TRINITY_DN18097_c2_g1	species-specific	-
TRINITY_DN18098_c0_g3	species-specific	-
TRINITY_DN18099_c1_g1	EUD	-
TRINITY_DN1809_c0_g1	SPE	-
TRINITY_DN180_c0_g1	SPE	-
TRINITY_DN18100_c0_g1	species-specific	-
TRINITY_DN18101_c0_g1	ANG	-
TRINITY_DN18102_c0_g1	EUD	-
TRINITY_DN18108_c0_g2	PAP	-
TRINITY_DN18108_c0_g3	ANG	-
TRINITY_DN18109_c0_g1	species-specific	-
TRINITY_DN18110_c0_g1	species-specific	-
TRINITY_DN18111_c0_g1	EUD	-
TRINITY_DN18113_c0_g1	ANG	-
TRINITY_DN18115_c0_g1	PAP	-
TRINITY_DN18117_c0_g1	ANG	-
TRINITY_DN18119_c0_g2	ANG	-
TRINITY_DN1811_c0_g1	ANG	-
TRINITY_DN18121_c0_g1	ANG	-
TRINITY_DN18125_c0_g1	ANG	-
TRINITY_DN18127_c0_g1	ANG	-
TRINITY_DN18128_c0_g1	PAP	-
TRINITY_DN1812_c2_g1	ANG	-
TRINITY_DN18131_c0_g2	ANG	-
TRINITY_DN18132_c0_g1	ANG	-
TRINITY_DN18137_c0_g1	SPE	-
TRINITY_DN18139_c0_g1	ANG	-
TRINITY_DN18142_c0_g2	SPE	-
TRINITY_DN18149_c0_g1	species-specific	-
TRINITY_DN1814_c0_g2	ANG	-
TRINITY_DN1814_c1_g1	ANG	-
TRINITY_DN18150_c4_g1	species-specific	-
TRINITY_DN18151_c0_g1	SPE	-
TRINITY_DN18151_c0_g2	SPE	-
TRINITY_DN18152_c0_g1	PAP	-
TRINITY_DN18153_c0_g1	species-specific	-
TRINITY_DN18155_c1_g1	species-specific	-
TRINITY_DN1815_c0_g1	ANG	-
TRINITY_DN18160_c0_g1	ANG	-
TRINITY_DN18163_c0_g1	species-specific	-
TRINITY_DN18167_c0_g1	ANG	-
TRINITY_DN18168_c0_g4	ANG	-
TRINITY_DN18171_c0_g1	ANG	-
TRINITY_DN18175_c0_g1	ANG	-
TRINITY_DN18176_c0_g2	species-specific	-
TRINITY_DN18178_c0_g2	ANG	-
TRINITY_DN18179_c0_g1	ANG	-
TRINITY_DN1817_c1_g1	ANG	-
TRINITY_DN18189_c0_g1	PAP	-
TRINITY_DN18189_c0_g3	PAP	-
TRINITY_DN1818_c0_g1	ANG	-
TRINITY_DN18190_c0_g1	SPE	-
TRINITY_DN18193_c0_g1	ANG	-
TRINITY_DN1819_c0_g1	ANG	-
TRINITY_DN181_c0_g1	SPE	-
TRINITY_DN18201_c0_g1	SPE	-
TRINITY_DN18204_c0_g1	SPE	-
TRINITY_DN1820_c0_g1	ANG	-
TRINITY_DN18214_c0_g1	ANG	-
TRINITY_DN18216_c0_g1	species-specific	-
TRINITY_DN18216_c0_g2	species-specific	-
TRINITY_DN18221_c0_g1	ANG	-
TRINITY_DN18221_c0_g2	species-specific	-
TRINITY_DN18223_c0_g1	PAP	-
TRINITY_DN18225_c0_g1	ANG	-
TRINITY_DN18227_c0_g1	ANG	-
TRINITY_DN18228_c0_g1	species-specific	-
TRINITY_DN18228_c0_g3	species-specific	-
TRINITY_DN18228_c1_g1	species-specific	-
TRINITY_DN18228_c1_g2	species-specific	-
TRINITY_DN1822_c0_g1	species-specific	-
TRINITY_DN18232_c0_g1	ANG	-
TRINITY_DN18237_c0_g1	PAP	-
TRINITY_DN1823_c0_g1	ANG	-
TRINITY_DN18245_c0_g1	ANG	-
TRINITY_DN18246_c0_g1	species-specific	-
TRINITY_DN18248_c0_g1	SPE	-
TRINITY_DN18249_c0_g1	ANG	-
TRINITY_DN1824_c0_g1	ANG	-
TRINITY_DN18251_c0_g1	SPE	-
TRINITY_DN18251_c0_g2	SPE	-
TRINITY_DN18252_c1_g1	SPE	-
TRINITY_DN18253_c0_g1	ANG	-
TRINITY_DN18259_c0_g1	species-specific	-
TRINITY_DN1825_c0_g1	ANG	-
TRINITY_DN18261_c0_g1	EUD	-
TRINITY_DN18263_c0_g1	PAP	-
TRINITY_DN18263_c0_g3	PAP	-
TRINITY_DN18266_c0_g1	ANG	-
TRINITY_DN18267_c0_g1	PAP	-
TRINITY_DN1826_c0_g1	ANG	-
TRINITY_DN18272_c0_g1	species-specific	-
TRINITY_DN18277_c0_g1	species-specific	-
TRINITY_DN18279_c1_g1	ANG	-
TRINITY_DN18280_c0_g1	species-specific	-
TRINITY_DN18280_c0_g2	species-specific	-
TRINITY_DN18280_c0_g3	species-specific	-
TRINITY_DN18280_c0_g4	species-specific	-
TRINITY_DN18280_c0_g5	species-specific	-
TRINITY_DN18281_c0_g1	ANG	-
TRINITY_DN18283_c0_g1	PAP	-
TRINITY_DN18283_c0_g3	PAP	-
TRINITY_DN1828_c0_g1	ANG	-
TRINITY_DN1828_c0_g2	ANG	-
TRINITY_DN1828_c0_g3	ANG	-
TRINITY_DN1828_c0_g4	ANG	-
TRINITY_DN1828_c1_g1	ANG	DN
TRINITY_DN18292_c0_g1	ANG	-
TRINITY_DN18294_c0_g1	SPE	-
TRINITY_DN18295_c0_g2	ANG	-
TRINITY_DN18295_c1_g1	ANG	-
TRINITY_DN18296_c0_g1	species-specific	-
TRINITY_DN18299_c0_g2	ANG	-
TRINITY_DN18299_c0_g3	ANG	-
TRINITY_DN1829_c0_g1	ANG	-
TRINITY_DN182_c0_g1	species-specific	-
TRINITY_DN18306_c0_g2	ANG	-
TRINITY_DN18308_c0_g1	ANG	-
TRINITY_DN1830_c0_g1	ANG	-
TRINITY_DN18311_c0_g1	SPE	-
TRINITY_DN18312_c0_g1	ANG	-
TRINITY_DN18314_c0_g1	ANG	-
TRINITY_DN18319_c0_g1	ANG	-
TRINITY_DN1831_c0_g1	ANG	-
TRINITY_DN18326_c0_g1	ANG	-
TRINITY_DN18327_c0_g1	ANG	-
TRINITY_DN18328_c0_g1	ANG	-
TRINITY_DN1832_c0_g1	ANG	-
TRINITY_DN18330_c1_g1	ANG	-
TRINITY_DN18335_c0_g1	EUD	-
TRINITY_DN18335_c0_g2	EUD	-
TRINITY_DN18336_c0_g1	SPE	-
TRINITY_DN18338_c0_g1	ANG	-
TRINITY_DN1833_c0_g1	ANG	-
TRINITY_DN18341_c0_g1	ANG	-
TRINITY_DN18345_c0_g1	ANG	-
TRINITY_DN18347_c0_g1	PAP	-
TRINITY_DN18348_c0_g1	EUD	-
TRINITY_DN18349_c1_g1	ANG	-
TRINITY_DN1834_c0_g1	PAP	-
TRINITY_DN18350_c0_g1	ANG	-
TRINITY_DN18352_c0_g1	species-specific	-
TRINITY_DN18354_c0_g1	species-specific	-
TRINITY_DN18356_c0_g1	ANG	-
TRINITY_DN18359_c0_g1	species-specific	-
TRINITY_DN1835_c0_g1	SPE	-
TRINITY_DN1835_c0_g2	SPE	-
TRINITY_DN18361_c0_g1	ANG	-
TRINITY_DN18362_c0_g1	species-specific	-
TRINITY_DN18362_c0_g3	species-specific	-
TRINITY_DN18363_c0_g1	species-specific	-
TRINITY_DN18364_c0_g1	PAP	-
TRINITY_DN18365_c0_g1	SPE	-
TRINITY_DN18365_c0_g2	ANG	-
TRINITY_DN18367_c0_g1	species-specific	-
TRINITY_DN18371_c0_g1	species-specific	-
TRINITY_DN18373_c0_g1	PAP	-
TRINITY_DN18375_c0_g1	ANG	-
TRINITY_DN18378_c0_g1	species-specific	-
TRINITY_DN18379_c0_g1	SPE	-
TRINITY_DN1837_c0_g1	ROS	-
TRINITY_DN1837_c0_g2	ANG	-
TRINITY_DN18380_c0_g1	ANG	-
TRINITY_DN18383_c0_g1	PAP	-
TRINITY_DN18383_c1_g1	species-specific	-
TRINITY_DN18383_c1_g2	species-specific	-
TRINITY_DN18386_c0_g1	ANG	-
TRINITY_DN18389_c1_g1	ANG	-
TRINITY_DN1838_c0_g1	PAP	-
TRINITY_DN1838_c0_g2	PAP	-
TRINITY_DN18390_c2_g1	ANG	-
TRINITY_DN18391_c0_g1	ANG	-
TRINITY_DN18392_c0_g1	ANG	-
TRINITY_DN18395_c0_g1	SPE	-
TRINITY_DN183_c0_g1	ANG	-
TRINITY_DN18406_c1_g1	species-specific	-
TRINITY_DN18407_c0_g1	species-specific	-
TRINITY_DN18407_c0_g2	species-specific	-
TRINITY_DN1840_c2_g1	SPE	-
TRINITY_DN18412_c0_g1	species-specific	-
TRINITY_DN18412_c0_g3	species-specific	-
TRINITY_DN18419_c0_g1	PAP	-
TRINITY_DN1841_c0_g1	SPE	-
TRINITY_DN18423_c0_g1	ANG	-
TRINITY_DN18426_c0_g1	ANG	-
TRINITY_DN18428_c0_g1	ANG	-
TRINITY_DN1842_c0_g1	SPE	-
TRINITY_DN18432_c0_g1	ANG	-
TRINITY_DN18435_c1_g1	species-specific	-
TRINITY_DN18437_c0_g1	EUD	-
TRINITY_DN18439_c0_g1	PAP	-
TRINITY_DN1843_c0_g1	FAB	-
TRINITY_DN18442_c0_g1	PAP	-
TRINITY_DN18448_c0_g1	species-specific	-
TRINITY_DN1844_c0_g1	ANG	-
TRINITY_DN18453_c0_g1	ANG	-
TRINITY_DN18454_c1_g1	ANG	-
TRINITY_DN18455_c0_g1	ANG	-
TRINITY_DN18456_c0_g1	ANG	-
TRINITY_DN18458_c0_g1	ANG	-
TRINITY_DN18459_c0_g1	PAP	-
TRINITY_DN1845_c0_g1	ANG	-
TRINITY_DN18460_c0_g2	species-specific	-
TRINITY_DN18464_c0_g1	ANG	-
TRINITY_DN18465_c0_g1	SPE	-
TRINITY_DN18467_c0_g1	PAP	-
TRINITY_DN18468_c0_g1	species-specific	-
TRINITY_DN18469_c0_g1	ANG	-
TRINITY_DN1846_c0_g3	species-specific	-
TRINITY_DN18470_c0_g1	ANG	-
TRINITY_DN18474_c0_g1	ANG	-
TRINITY_DN18475_c0_g1	EUD	-
TRINITY_DN18478_c0_g1	ANG	-
TRINITY_DN18479_c0_g1	ROS	-
TRINITY_DN1847_c0_g1	ANG	-
TRINITY_DN18481_c1_g1	species-specific	-
TRINITY_DN18484_c0_g1	ANG	-
TRINITY_DN18487_c0_g1	ANG	-
TRINITY_DN18487_c1_g1	ANG	-
TRINITY_DN18488_c0_g1	ANG	-
TRINITY_DN18489_c0_g1	species-specific	-
TRINITY_DN1848_c1_g1	ANG	DN
TRINITY_DN18495_c0_g1	PAP	-
TRINITY_DN18498_c0_g1	species-specific	-
TRINITY_DN1849_c0_g1	ANG	-
TRINITY_DN184_c0_g1	ANG	-
TRINITY_DN18502_c0_g1	ANG	-
TRINITY_DN18503_c0_g1	ANG	-
TRINITY_DN18504_c0_g1	EUD	-
TRINITY_DN1850_c0_g1	SPE	-
TRINITY_DN18511_c0_g1	ANG	-
TRINITY_DN18512_c0_g1	species-specific	-
TRINITY_DN18513_c0_g1	species-specific	-
TRINITY_DN18514_c0_g1	species-specific	-
TRINITY_DN18516_c0_g1	ANG	-
TRINITY_DN18517_c0_g3	ANG	-
TRINITY_DN18519_c0_g1	ANG	-
TRINITY_DN1851_c0_g1	SPE	-
TRINITY_DN18522_c0_g1	SPE	-
TRINITY_DN18523_c0_g1	species-specific	-
TRINITY_DN18524_c0_g1	species-specific	-
TRINITY_DN18524_c0_g2	species-specific	-
TRINITY_DN18524_c0_g4	species-specific	-
TRINITY_DN18526_c0_g1	species-specific	-
TRINITY_DN18526_c1_g1	species-specific	-
TRINITY_DN18528_c0_g1	ANG	-
TRINITY_DN18529_c0_g1	ANG	-
TRINITY_DN18529_c1_g1	PAP	-
TRINITY_DN1852_c0_g1	ANG	-
TRINITY_DN18530_c0_g2	species-specific	-
TRINITY_DN18535_c0_g1	ANG	-
TRINITY_DN18538_c0_g1	species-specific	-
TRINITY_DN1853_c0_g1	PAP	-
TRINITY_DN18540_c1_g1	species-specific	-
TRINITY_DN18547_c0_g1	PAP	-
TRINITY_DN1854_c2_g1	SPE	-
TRINITY_DN18553_c0_g1	species-specific	-
TRINITY_DN18556_c0_g1	ANG	-
TRINITY_DN18557_c1_g1	species-specific	-
TRINITY_DN18559_c0_g1	species-specific	-
TRINITY_DN1855_c0_g1	ANG	-
TRINITY_DN18561_c0_g1	ANG	-
TRINITY_DN18562_c0_g1	ANG	-
TRINITY_DN18564_c0_g1	ANG	-
TRINITY_DN18566_c0_g3	species-specific	-
TRINITY_DN18566_c1_g1	species-specific	-
TRINITY_DN18566_c4_g1	species-specific	-
TRINITY_DN18567_c0_g1	ANG	-
TRINITY_DN18568_c0_g1	species-specific	DN
TRINITY_DN18571_c0_g2	ANG	-
TRINITY_DN18572_c0_g1	ANG	-
TRINITY_DN18575_c1_g1	EUD	-
TRINITY_DN18576_c0_g1	EUD	-
TRINITY_DN18578_c0_g1	ANG	-
TRINITY_DN18579_c0_g1	species-specific	-
TRINITY_DN18579_c0_g2	species-specific	-
TRINITY_DN18579_c0_g3	SPE	-
TRINITY_DN1857_c0_g1	ANG	-
TRINITY_DN18582_c0_g1	ANG	-
TRINITY_DN18582_c2_g1	ANG	-
TRINITY_DN18585_c0_g1	species-specific	-
TRINITY_DN18585_c0_g2	species-specific	-
TRINITY_DN18588_c0_g1	SPE	-
TRINITY_DN18589_c0_g1	ANG	-
TRINITY_DN1858_c0_g1	ANG	-
TRINITY_DN18591_c0_g2	SPE	-
TRINITY_DN1859_c0_g1	ANG	-
TRINITY_DN185_c0_g1	FAB	-
TRINITY_DN18600_c0_g1	SPE	-
TRINITY_DN18602_c0_g1	species-specific	-
TRINITY_DN18606_c0_g2	species-specific	-
TRINITY_DN18611_c0_g1	species-specific	-
TRINITY_DN18612_c0_g1	ANG	-
TRINITY_DN18613_c0_g1	ANG	-
TRINITY_DN18616_c2_g1	ANG	-
TRINITY_DN1861_c0_g1	SPE	-
TRINITY_DN18620_c0_g1	species-specific	-
TRINITY_DN18621_c0_g1	ANG	-
TRINITY_DN18624_c1_g1	species-specific	-
TRINITY_DN18625_c0_g1	PAP	-
TRINITY_DN1862_c0_g1	ANG	-
TRINITY_DN18630_c0_g1	FAB	-
TRINITY_DN18633_c0_g1	ANG	-
TRINITY_DN18636_c0_g1	ANG	-
TRINITY_DN18637_c0_g1	SPE	-
TRINITY_DN18637_c0_g2	SPE	-
TRINITY_DN18637_c0_g3	SPE	-
TRINITY_DN18637_c0_g5	SPE	-
TRINITY_DN18637_c0_g6	SPE	-
TRINITY_DN18638_c0_g1	species-specific	-
TRINITY_DN1863_c0_g1	SPE	-
TRINITY_DN18642_c0_g1	ANG	-
TRINITY_DN18643_c0_g1	SPE	-
TRINITY_DN18647_c1_g1	species-specific	-
TRINITY_DN18647_c1_g3	species-specific	-
TRINITY_DN18648_c0_g1	species-specific	-
TRINITY_DN18649_c0_g1	PAP	-
TRINITY_DN18649_c0_g2	SPE	-
TRINITY_DN1864_c0_g1	ANG	-
TRINITY_DN18650_c0_g1	species-specific	-
TRINITY_DN18650_c0_g2	species-specific	-
TRINITY_DN18654_c0_g1	PAP	-
TRINITY_DN18657_c0_g1	species-specific	-
TRINITY_DN18658_c0_g1	ANG	-
TRINITY_DN1865_c0_g1	ANG	-
TRINITY_DN18661_c0_g1	ANG	-
TRINITY_DN18662_c0_g3	SPE	-
TRINITY_DN18666_c0_g2	species-specific	-
TRINITY_DN18666_c0_g5	species-specific	-
TRINITY_DN18669_c0_g1	PAP	-
TRINITY_DN1866_c0_g1	ANG	-
TRINITY_DN18670_c0_g1	ANG	-
TRINITY_DN18672_c0_g1	ANG	-
TRINITY_DN18673_c0_g1	SPE	-
TRINITY_DN18675_c0_g1	species-specific	-
